10/05/2023 10:58:00, admin, POST, Login
10/05/2023 10:58:05, admin, POST, Create food #7
10/05/2023 10:58:08, admin, POST, Create food #8
10/05/2023 10:58:11, admin, POST, Create food #9
10/05/2023 10:58:22, admin, DELETE, Delete food #8
10/05/2023 10:58:38, admin, POST, Create menu #6
10/05/2023 10:58:48, admin, POST, Create menu #7
10/05/2023 10:58:58, admin, DELETE, Delete menu #6
10/05/2023 11:00:13, undefined, POST, undefined
10/05/2023 11:01:35, undefined, POST, undefined
10/05/2023 11:03:22, undefined, POST, undefined
10/05/2023 11:06:30, undefined, POST, undefined
10/05/2023 11:06:42, undefined, POST, undefined
10/05/2023 11:13:59, undefined, POST, undefined
10/05/2023 11:16:36, undefined, POST, undefined
10/05/2023 11:16:41, undefined, POST, undefined
10/05/2023 12:26:50, admin, POST, Login
10/05/2023 12:26:56, undefined, POST, undefined
10/05/2023 12:36:24, admin, POST, Update bmi
10/05/2023 12:38:30, admin, POST, Update bmi
10/05/2023 12:39:25, undefined, POST, undefined
10/05/2023 12:43:04, undefined, POST, undefined
10/05/2023 12:43:29, undefined, POST, undefined
10/05/2023 12:44:00, undefined, POST, undefined
10/05/2023 12:47:04, undefined, POST, undefined
10/05/2023 12:48:41, undefined, POST, undefined
10/05/2023 12:49:21, undefined, POST, undefined
10/05/2023 12:49:38, undefined, POST, undefined
10/05/2023 12:58:06, undefined, DELETE, undefined
10/05/2023 12:58:25, admin, POST, Create food #10
10/05/2023 13:00:57, undefined, POST, undefined
10/05/2023 13:02:51, admin, POST, Create food #11
10/05/2023 13:03:08, undefined, POST, undefined
10/05/2023 13:15:10, undefined, POST, undefined
10/05/2023 13:30:18, undefined, POST, undefined
10/05/2023 13:41:18, undefined, POST, undefined
10/05/2023 13:42:20, undefined, POST, undefined
10/05/2023 13:57:29, undefined, POST, undefined
10/05/2023 14:13:31, undefined, POST, undefined
10/05/2023 14:14:12, undefined, POST, undefined
10/05/2023 14:14:22, undefined, POST, undefined
10/05/2023 14:15:56, undefined, POST, undefined
10/05/2023 14:16:10, undefined, POST, undefined
10/05/2023 14:16:10, admin, POST, XYZ
10/05/2023 14:16:31, undefined, POST, undefined
10/05/2023 14:16:50, undefined, POST, undefined
10/05/2023 14:16:50, admin, POST, XYZ
10/05/2023 14:18:59, undefined, POST, undefined
10/05/2023 14:23:23, undefined, POST, undefined
10/05/2023 14:25:00, admin, POST, Create food #12
10/05/2023 16:09:38, admin, POST, Login
