10/05/2023 10:58:00, admin, POST, Login
10/05/2023 10:58:05, admin, POST, Create food #7
10/05/2023 10:58:08, admin, POST, Create food #8
10/05/2023 10:58:11, admin, POST, Create food #9
10/05/2023 10:58:22, admin, DELETE, Delete food #8
10/05/2023 10:58:38, admin, POST, Create menu #6
10/05/2023 10:58:48, admin, POST, Create menu #7
10/05/2023 10:58:58, admin, DELETE, Delete menu #6
10/05/2023 11:00:13, undefined, POST, undefined
10/05/2023 11:01:35, undefined, POST, undefined
10/05/2023 11:03:22, undefined, POST, undefined
10/05/2023 11:06:30, undefined, POST, undefined
10/05/2023 11:06:42, undefined, POST, undefined
10/05/2023 11:13:59, undefined, POST, undefined
10/05/2023 11:16:36, undefined, POST, undefined
10/05/2023 11:16:41, undefined, POST, undefined
10/05/2023 12:26:50, admin, POST, Login
10/05/2023 12:26:56, undefined, POST, undefined
10/05/2023 12:36:24, admin, POST, Update bmi
10/05/2023 12:38:30, admin, POST, Update bmi
10/05/2023 12:39:25, undefined, POST, undefined
10/05/2023 12:43:04, undefined, POST, undefined
10/05/2023 12:43:29, undefined, POST, undefined
10/05/2023 12:44:00, undefined, POST, undefined
10/05/2023 12:47:04, undefined, POST, undefined
10/05/2023 12:48:41, undefined, POST, undefined
10/05/2023 12:49:21, undefined, POST, undefined
10/05/2023 12:49:38, undefined, POST, undefined
10/05/2023 12:58:06, undefined, DELETE, undefined
10/05/2023 12:58:25, admin, POST, Create food #10
10/05/2023 13:00:57, undefined, POST, undefined
10/05/2023 13:02:51, admin, POST, Create food #11
10/05/2023 13:03:08, undefined, POST, undefined
10/05/2023 13:15:10, undefined, POST, undefined
10/05/2023 13:30:18, undefined, POST, undefined
10/05/2023 13:41:18, undefined, POST, undefined
10/05/2023 13:42:20, undefined, POST, undefined
10/05/2023 13:57:29, undefined, POST, undefined
10/05/2023 14:13:31, undefined, POST, undefined
10/05/2023 14:14:12, undefined, POST, undefined
10/05/2023 14:14:22, undefined, POST, undefined
10/05/2023 14:15:56, undefined, POST, undefined
10/05/2023 14:16:10, undefined, POST, undefined
10/05/2023 14:16:10, admin, POST, XYZ
10/05/2023 14:16:31, undefined, POST, undefined
10/05/2023 14:16:50, undefined, POST, undefined
10/05/2023 14:16:50, admin, POST, XYZ
10/05/2023 14:18:59, undefined, POST, undefined
10/05/2023 14:23:23, undefined, POST, undefined
10/05/2023 14:25:00, admin, POST, Create food #12
10/05/2023 16:09:38, admin, POST, Login
10/05/2023 16:09:45, admin, POST, Create food #13
10/05/2023 16:10:01, undefined, POST, undefined
10/05/2023 16:17:04, undefined, POST, undefined
10/05/2023 16:17:39, undefined, POST, undefined
10/05/2023 16:27:33, undefined, POST, undefined
10/05/2023 16:28:33, undefined, POST, undefined
10/05/2023 17:11:52, admin, POST, XYZ
10/05/2023 17:12:19, undefined, POST, undefined
10/05/2023 17:12:58, undefined, POST, undefined
10/05/2023 17:13:10, admin, POST, XYZ
10/05/2023 17:13:33, admin, POST, XYZ
10/05/2023 17:13:41, admin, POST, XYZ
10/05/2023 17:16:03, admin, POST, XYZ
10/05/2023 17:19:03, admin, POST, XYZ
10/05/2023 21:45:11, admin, POST, Login
10/05/2023 22:32:42, user6, POST, Register
10/05/2023 22:33:56, admin, POST, Login
10/05/2023 22:41:25, admin, POST, Create food #14
10/05/2023 22:50:11, undefined, POST, undefined
10/05/2023 22:52:14, undefined, POST, undefined
10/05/2023 22:52:35, admin, PUT, Update food #14
10/05/2023 23:12:47, admin, DELETE, Delete food #14
10/05/2023 23:27:10, admin, POST, Create menu #8
10/05/2023 23:42:01, admin, PUT, Update menu #8
10/05/2023 23:43:46, admin, PUT, Update menu #8
10/05/2023 23:44:15, admin, DELETE, Delete menu #8
10/05/2023 23:49:53, admin, PUT, Block user #6
10/05/2023 23:50:30, admin, PUT, Unblock user #6
11/05/2023 00:00:13, admin, PUT, Change password
11/05/2023 00:01:55, admin, PUT, Update avatar
11/05/2023 00:02:58, admin, PUT, Update avatar
11/05/2023 00:11:22, admin, PUT, Update profile
11/05/2023 00:12:05, admin, PUT, Update profile
11/05/2023 00:12:33, admin, PUT, Update profile
11/05/2023 00:19:29, admin, POST, Update BMI record
11/05/2023 00:21:41, undefined, POST, undefined
11/05/2023 00:23:25, undefined, POST, undefined
11/05/2023 00:23:45, undefined, POST, undefined
11/05/2023 00:27:07, undefined, POST, undefined
11/05/2023 00:28:00, undefined, POST, undefined
11/05/2023 00:30:47, undefined, POST, undefined
11/05/2023 00:31:16, undefined, POST, undefined
11/05/2023 00:32:12, undefined, POST, undefined
11/05/2023 00:32:38, admin, POST, Post rating
11/05/2023 00:32:50, undefined, POST, undefined
11/05/2023 00:33:10, admin, POST, Post rating
11/05/2023 00:33:43, admin, POST, Update BMI record
11/05/2023 00:33:54, admin, POST, Post rating
11/05/2023 00:35:12, admin, POST, Login
11/05/2023 00:35:21, admin, POST, Post rating
11/05/2023 00:36:07, admin, POST, Post rating
11/05/2023 00:39:05, undefined, POST, undefined
11/05/2023 00:39:28, admin, POST, Post rating
11/05/2023 00:49:55, admin, POST, Login
11/05/2023 12:39:00, admin, POST, Login
11/05/2023 12:41:30, admin, POST, Login
11/05/2023 12:41:47, admin, POST, Login
11/05/2023 12:44:04, admin, POST, Login
11/05/2023 21:41:31, admin, POST, Login
11/05/2023 21:46:32, admin, POST, Create menu #9
11/05/2023 21:47:50, admin, POST, Create menu #10
